,순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
23,-105,2048645879,주식회사 원전기공사,황기흠,분석,644264957,87.461,87.703,-0.5388 (99.4612),,2024/01/25 07:03:48,
24,-106,1088179310,협진전기통신(주),허영자,분석,644199746,87.452,87.694,-0.5489 (99.4511),,2024/01/23 13:05:30,
25,-107,7797200063,장현전기,박병만,분석,644150310,87.445,87.687,-0.5565 (99.4435),,2024/01/24 19:41:40,
26,-108,1148137654,(주)미동이엔씨,이병복,분석,644148000,87.444,87.687,-0.5569 (99.4431),,2024/01/25 09:31:03,
27,-109,1148135087,장한전산(주),이상철,분석,644122904,87.441,87.683,-0.5608 (99.4392),,2024/01/24 11:31:36,
28,-110,1118129252,광원전설(주),김영선,분석,644111935,87.439,87.682,-0.5625 (99.4375),,2024/01/25 11:31:13,
29,-111,1138635702,주식회사 무원이앤씨,손운성,분석,644110144,87.439,87.682,-0.5627 (99.4373),,2024/01/25 09:10:26,
30,-112,2148619081,주식회사 유신테크,김용근,분석,644095892,87.437,87.68,-0.5649 (99.4351),,2024/01/23 10:54:51,
31,-113,2078153558,(주)동광지에스,이덕하,분석,644088700,87.436,87.679,-0.5661 (99.4339),,2024/01/24 09:53:46,
32,-114,1088156544,메가파워넷(주),신현만,분석,644080994,87.435,87.678,-0.5672 (99.4328),,2024/01/23 16:13:19,
33,-115,1058645500,태지종합건설(주),박명호,분석,644047310,87.43,87.673,-0.5725 (99.4275),,2024/01/24 16:37:01,
34,-116,3088802555,성공전력주식회사,서은솔,분석,644039408,87.429,87.672,-0.5737 (99.4263),,2024/01/25 11:15:14,
35,-117,2208108978,고양종합건설 주식회사,이홍준,분석,644033000,87.428,87.671,-0.5747 (99.4253),,2024/01/25 09:33:18,
36,-118,1198646094,광명전력통신(주),전세현,분석,644026100,87.427,87.67,-0.5757 (99.4243),,2024/01/24 10:44:39,
37,-119,1058173369,(주)신한개발,이종순,분석,644017514,87.426,87.669,-0.5770 (99.423),,2024/01/18 15:37:34,
38,-120,5068135855,주식회사 광원이엔지,정원기,분석,644011724,87.425,87.668,-0.5779 (99.4221),,2024/01/24 10:44:46,
39,-121,1188116568,후지쯔코리아테크놀러지 주식회사,백종도,분석,643996786,87.423,87.666,-0.5802 (99.4198),,2024/01/23 12:52:56,
40,-122,2318702374,주식회사 라도라,민정식,분석,643987717,87.422,87.665,-0.5816 (99.4184),,2024/01/24 09:49:12,
41,-123,1108175767,(주)에스에이치전기,김성태,분석,643981429,87.421,87.664,-0.5826 (99.4174),,2024/01/24 15:49:56,
42,-124,1068684748,주식회사고도기술,고동현,분석,643894959,87.408,87.652,-0.5960 (99.404),,2024/01/24 19:44:15,
43,-125,1058192352,한아름정보통신(주),손경선,분석,643885340,87.407,87.651,-0.5975 (99.4025),,2024/01/18 10:49:36,
44,-126,2128148834,보길전력주식회사,두정호,분석,643854450,87.403,87.647,-0.6022 (99.3978),,2024/01/24 17:41:13,
45,-127,2048105154,우일정보기술 주식회사,이오,분석,643811528,87.397,87.641,-0.6088 (99.3912),,2024/01/24 16:38:27,
46,-128,2028158261,주식회사 남두,김승균,분석,643807870,87.396,87.64,-0.6094 (99.3906),,2024/01/22 11:50:29,
47,-129,2048140753,(주)청효이씨이,이범석,분석,643787413,87.393,87.638,-0.6126 (99.3874),,2024/01/24 16:24:04,
48,-130,2068154724,주식회사 성진전업,장미화,분석,643773310,87.391,87.636,-0.6147 (99.3853),,2024/01/25 08:04:49,
49,-131,2158614866,세세건설 주식회사,윤현규,분석,643770654,87.391,87.635,-0.6152 (99.3848),,2024/01/24 14:19:45,
0,-132,1198148947,주식회사 광성기전,김성원,분석,643691700,87.38,87.625,-0.6273 (99.3727),,2024/01/23 15:05:17,
1,-133,2088100603,(주)전우사,김한재,분석,643536880,87.358,87.604,-0.6512 (99.3488),,2024/01/24 10:51:08,
2,-134,2118606665,주식회사 아라랏,황지홍,분석,643517130,87.355,87.601,-0.6543 (99.3457),,2024/01/24 22:08:51,
3,-135,2108136991,별내 주식회사,김명수,분석,643511900,87.354,87.6,-0.6551 (99.3449),,2024/01/23 11:31:49,
4,-136,6308702149,대영이앤지 주식회사,류근호,분석,643511536,87.354,87.6,-0.6552 (99.3448),,2024/01/24 16:52:13,
5,-137,1178162754,(주)한원전력,한영이,분석,643472750,87.349,87.595,-0.6612 (99.3388),,2024/01/24 09:49:55,
6,-138,1198605337,(주)신한이엔아이,유순자,분석,643252418,87.318,87.565,-0.6952 (99.3048),,2024/01/24 07:15:06,
7,-139,1058714080,(주) 한일이앤에스,박완교,분석,643231787,87.315,87.562,-0.6983 (99.3017),,2024/01/24 14:13:20,
8,-140,2078149729,주식회사 지앤에스기술,문창수,분석,643151465,87.304,87.551,-0.7107 (99.2893),,2024/01/25 09:16:20,
9,-141,7038600379,주식회사 국민전력기업,강태호,분석,643141750,87.302,87.55,-0.7122 (99.2878),,2024/01/24 15:29:00,
10,-142,2148805112,주식회사 지큐이앤씨,구자옥,분석,643107389,87.297,87.545,-0.7176 (99.2824),,2024/01/24 07:36:59,
11,-143,4178600013,블랙썬 주식회사,이희부,분석,643084740,87.294,87.542,-0.7211 (99.2789),,2024/01/24 09:19:22,
12,-144,2208197511,(주)다산지앤지,유철종,분석,643012200,87.284,87.532,-0.7322 (99.2678),,2024/01/23 08:57:04,
13,-145,2068614770,태양전설주식회사,변형숙,분석,643002476,87.283,87.531,-0.7338 (99.2662),,2024/01/24 18:32:57,
14,-146,2128101504,現代電設 株式會社,김겸수,분석,642983990,87.28,87.528,-0.7366 (99.2634),,2024/01/22 09:18:38,
15,-147,1058110006,삼성전기산업 주식회사,박소연,분석,642928630,87.272,87.521,-0.7452 (99.2548),,2024/01/25 08:38:46,
16,-148,2058140829,원앤원산업개발(주),배애순,분석,642882650,87.266,87.515,-0.7522 (99.2478),,2024/01/23 10:11:36,
17,-149,1138680513,주식회사연수이앤씨,조운호,분석,642842470,87.26,87.509,-0.7585 (99.2415),,2024/01/24 09:58:31,
18,-150,1188115778,대신통신기술(주),김지영,분석,642751810,87.247,87.497,-0.7724 (99.2276),,2024/01/24 14:40:15,
19,-151,2118640396,주식회사 선진콘트롤 엔 엑세스,이철희,분석,642715490,87.242,87.492,-0.7781 (99.2219),,2024/01/23 12:59:39,
20,-152,4878800409,주식회사 백산전기,이강호,분석,642641690,87.232,87.482,-0.7894 (99.2106),,2024/01/23 14:00:16,
21,-153,1748600800,삼창파워 주식회사,박현규,분석,642623550,87.229,87.479,-0.7922 (99.2078),,2024/01/25 06:42:03,
22,-154,2011497895,정우이앤씨,유동환,분석,642614847,87.228,87.478,-0.7936 (99.2064),,2024/01/23 14:08:01,
23,-155,1138630202,(주)유성이엔씨,최용석,분석,642434726,87.202,87.454,-0.8214 (99.1786),,2024/01/23 14:29:23,
24,-156,2018162836,(주)선전력시스템,임철학,분석,642251086,87.176,87.429,-0.8497 (99.1503),,2024/01/22 21:12:42,
25,-157,2053182106,범한전력공사,박희자,분석,642201209,87.169,87.422,-0.8574 (99.1426),,2024/01/24 20:34:41,
26,-158,1138124248,원전종합건설 주식회사,김창기,분석,642048900,87.148,87.401,-0.8810 (99.119),,2024/01/24 16:37:47,
27,-159,6608101440,주식회사 에코다원,강성민,분석,642018542,87.144,87.397,-0.8856 (99.1144),,2024/01/25 09:46:54,
28,-160,1078636517,주식회사 국일이앤씨,서남석,분석,641968926,87.137,87.39,-0.8933 (99.1067),,2024/01/23 12:53:41,
29,-161,5048621044,호성이엔티 주식회사,이현정,분석,641915549,87.129,87.383,-0.9015 (99.0985),,2024/01/25 12:02:48,
30,-162,1138132447,태진정보통신(주),정태수,분석,641715393,87.101,87.356,-0.9324 (99.0676),,2024/01/23 14:07:52,
31,-163,1198154906,제이원스 주식회사,한은영,분석,641491918,87.069,87.325,-0.9669 (99.0331),,2024/01/25 07:32:12,
32,-164,1088121972,(주)대로전설,당현웅,분석,641424300,87.06,87.316,-0.9774 (99.0226),,2024/01/22 17:28:43,
33,-165,2048168770,(주)대성파워텍,차의환,분석,641299940,87.042,87.299,-0.9966 (99.0034),,2024/01/25 08:45:34,
34,-166,1208775747,주식회사 나노전력,최명기,분석,641199780,87.028,87.285,-1.0120 (98.988),,2024/01/24 19:43:50,
35,-167,1078104441,진화전기(주),문충모,분석,640311643,86.903,87.165,-1.1492 (98.8508),,2024/01/25 09:04:35,
36,-168,1048800071,주식회사 대광사업단,박선희,분석,640298750,86.901,87.163,-1.1512 (98.8488),,2024/01/23 19:53:20,
37,-169,1778800569,주식회사 유원이씨에스,유명종,분석,639627031,86.806,87.071,-1.2548 (98.7452),,2024/01/25 08:57:43,
38,-170,1078193207,주식회사 주광전기,이승훈,분석,557300070,75.187,75.864,-13.9644 (86.0356),,2024/01/23 10:22:05,
39,-171,2068677931,주식회사 승천이엔지,안만숙,분석,555262414,74.899,75.587,-14.2790 (85.721),,2024/01/24 22:18:14,
40,-172,6618702691,(주)대창일렉스,송효양,분석,554759800,74.828,75.518,-14.3566 (85.6434),,2024/01/25 08:54:09,
